r,g,b,ordem,hex,completitionYear
212,225,225,111,#D4E1E1,1966
145,173,166,115,#91ADA6,1966
108,114,112,116,#6C7270,1966
33,36,31,119,#21241F,1966
240,238,213,1,#F0EED5,1967
118,167,207,45,#76A7CF,1967
186,149,51,93,#BA9533,1967
213,193,117,95,#D5C175,1967
73,68,54,104,#494436,1967
109,104,92,106,#6D685C,1967
143,146,126,107,#8F927E,1967
209,208,188,109,#D1D0BC,1967
182,181,160,114,#B6B5A0,1967
26,26,23,119,#1A1A17,1967
238,236,222,1,#EEECDE,1968
21,69,82,69,#154552,1968
90,111,92,75,#5A6F5C,1968
148,54,11,78,#94360B,1968
195,133,18,93,#C38512,1968
61,65,37,104,#3D4125,1968
117,144,134,107,#759086,1968
167,166,135,108,#A7A687,1968
204,205,184,109,#CCCDB8,1968
19,26,15,119,#131A0F,1968
243,228,216,1,#F3E4D8,1969
231,178,24,8,#E7B218,1969
181,88,20,18,#B55814,1969
137,28,11,78,#891C0B,1969
146,122,110,99,#927A6E,1969
196,162,138,100,#C4A28A,1969
88,80,78,103,#58504E,1969
64,39,27,104,#40271B,1969
218,193,178,109,#DAC1B2,1969
18,7,5,119,#120705,1969
224,224,36,7,#E0E024,1970
46,68,108,40,#2E446C,1970
77,152,128,63,#4D9880,1970
165,215,91,73,#A5D75B,1970
96,112,74,75,#60704A,1970
184,99,32,96,#B86320,1970
147,143,124,99,#938F7C,1970
52,49,27,104,#34311B,1970
220,221,205,110,#DCDDCD,1970
170,186,162,114,#AABAA2,1970
229,210,31,8,#E5D21F,1971
59,120,133,41,#3B7885,1971
191,222,82,73,#BFDE52,1971
104,158,45,74,#689E2D,1971
198,188,153,95,#C6BC99,1971
148,140,111,99,#948C6F,1971
105,87,61,101,#69573D,1971
44,41,36,104,#2C2924,1971
220,223,197,110,#DCDFC5,1971
129,184,166,115,#81B8A6,1971
255,255,255,0,#FFFFFF,1972
254,244,252,0,#FEF4FC,1972
148,137,145,100,#948991,1972
70,57,66,104,#463942,1972
95,84,93,105,#5F545D,1972
206,195,204,109,#CEC3CC,1972
232,222,230,110,#E8DEE6,1972
177,166,174,114,#B1A6AE,1972
121,110,119,116,#796E77,1972
44,30,39,119,#2C1E27,1972
255,255,255,0,#FFFFFF,1973
249,247,235,1,#F9F7EB,1973
235,225,186,2,#EBE1BA,1973
119,162,188,45,#77A2BC,1973
213,201,152,95,#D5C998,1973
100,95,82,98,#645F52,1973
140,132,106,99,#8C846A,1973
